tokens,token_name
0x4dc3abe9cedeaa975433011750649e6abdfb33b0,DOGE2
0x790814cd782983fab4d7b92cf155187a865d9f18,MATT
0xbeef698bd78139829e540622d5863e723e8715f1,BEEF
0x077fe9ea7d6343dc85242cb1ce3270f3e72c0953,BUBBLE
0x88909d489678dd17aa6d9609f89b0419bf78fd9a,L3
0x49f0166182ab50f46220606acdec29e5140c660e,MUNION
0x6942071b5e9930280f8d54b1a95ce38a999cf285,CASPER
0x4298e4ad48be89bf63a6fdc470a4b4fe9ce633b1,ESTEE
0x04d7dc53059cc6e79384558caefb7fe5d1eaf93b,BRAINLET
0x447ab19eddd26b55c084b15b13718439a897fd1f,ANOI
0x028555490a88743a610178bd8ee90af7061979b5,CHACHA
0x62d0a8458ed7719fdaf978fe5929c6d342b0bfce,BEAM
0x14fee680690900ba0cccfc76ad70fd1b95d10e16,$PAAL
0x95a4a2f9373b5e8b812e778770e1775a15288af6,SSEC
0xa7dd9c5932b621cdba215d3b4f57a878ad7d9248,HACHI
0x1a3a8cf347b2bf5890d3d6a1b981c4f4432c8661,FAC
0x888888ae2c4a298efd66d162ffc53b3f2a869888,OMOCHI
0x10e8dac134ef9c1a858993b98d03d32ed145e348,CLT
0x8bcda22d51785a5540129feb90d47cb279826478,ITO
0x873259322be8e50d80a4b868d186cc5ab148543a,Ponzio
0x98de539486ea9bc06a28bef5fb089a7f149b7ff7,FINE
0x15902a3bd8fae3b524ff97420ec0a5a44e64498a,BabyFUKU
0x17c50d62e6e8d20d2dc18e9ad79c43263d0720d9,NFAi
0x7039cd6d7966672f194e8139074c3d5c4e6dcf65,STRUMP
0xaf8b894229bc800658ab0faf744e97c8c74c4321,Lemon
0x0c2e08e459fc43ddd1e2718c122f566473f59665,BURGER
0x777b6d4730a8a890dc64bf202514ce03ab001c02,BARS
0x30410e8f654e8cfde6a270e222ef168c87d7012f,HAIR
0x59c2d3bb4894e8a17be8395a7bdc354084b5fe05,BENZ
0x0255d663191e4d9bcd77ddeeab63f3dd4dc5dd96,ELONTRUMP
0xbe0ed4138121ecfc5c0e56b40517da27e6c5226b,ATH
0xb2617246d0c6c0087f18703d576831899ca94f01,ZIG
0x81db1949d0e888557bc632f7c0f6698b1f8c9106,D/ACC
0x579d7d690ad82f111e25cea0eeaf39de266f4321,FUKU
0x07213c71077137c7c0950d22402048b9bab0f858,MST
0x5a3e6a77ba2f983ec0d371ea3b475f8bc0811ad5,0x0
0x881f14babd5210c35821cd9ac8330d9344ff2d81,MILAN
0xb17e388add8a7d057d0da853a2c28f7ec50bdb59,BULL
0xa1902d1461289a79ca0a40fa5cb75518900f4aa8,Everything
0x696966ed34bfb0c5d27843b25db7cd829729dc9a,AOBA
0x5da7193bde4ddf283d21f8cfd7fe27b78aa2058a,BAGN
0x44971abf0251958492fee97da3e5c5ada88b9185,basedAI
0xa9e8acf069c58aec8825542845fd754e41a9489a,pepecoin
0x8ba04cdc0671952116e245121b613cfc0ff9899f,LSD
0x7abc8a5768e6be61a6c693a6e4eacb5b60602c4d,CXT
0x8c7ac134ed985367eadc6f727d79e8295e11435c,Kekec
0xaf05ce8a2cef336006e933c02fc89887f5b3c726,LMI
0x0047a674f18afa0666fa292e1e213e3f9ea353eb,HITMAN
0x5c8328e7a3cd6c0a5298dbb92190636882fa0328,SENDY
0x32b053f2cba79f80ada5078cb6b305da92bde6e1,NEURAL
0x1c7f957f2fb1c124bc2fb282c296cd8cd508fe16,HARRIS
0x1ae7e1d0ce06364ced9ad58225a1705b3e5db92b,LMEOW
0x7d4a23832fad83258b32ce4fd3109ceef4332af4,STONKS
0x6aa56e1d98b3805921c170eb4b3fe7d4fda6d89b,TRUMP
0x62bfd005742b605e39e183d16e58317157505a2a,NENJARIO
0x6969f3a3754ab674b48b7829a8572360e98132ba,IZZY
0x5d4dd8ae35999c7c4d5cbabc900ed8a4201711a0,GROUP
0x8390a1da07e376ef7add4be859ba74fb83aa02d5,GROK
0x8143182a775c54578c8b7b3ef77982498866945d,wQUIL
0x3927fb89f34bbee63351a6340558eebf51a19fb8,SPURDO
0x0e3855376e5db3dff1fa39fcd0b2d76142628426,BMAGA
0x8af8cce77d705b4ca1b0a627d705a33ff475af5e,Neiro2
0x3b561f8cba006de415737b9323c5962f504b4129,WOKE
0x41b1f9dcd5923c9542b6957b9b72169595acbc5c,CHEEMS
0x239a149410aa8d583013246c0adeb9fca81e86c0,FWOG
0x955d5c14c8d4944da1ea7836bd44d54a8ec35ba1,RFD
0x046eee2cc3188071c02bfc1745a6b17c656e3f3d,RLB
0x38e4adb44ef08f22f5b5b76a8f0c2d0dcbe7dca1,CVP
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,USDe
0x210ae19bec2bee848f97d0059b9f64de6a5515c2,EPANDA
0x292fcdd1b104de5a00250febba9bc6a5092a0076,HashAI
0x8881562783028f5c1bcb985d2283d5e170d88888,SHFL
0x106db9a4d0e205ea3f6629573366bc80c1796ed7,AOBA
